"Region","year","diabetes_count","blood_disease_count","cancer_count","circulatory_count","congenital_count","digestive_count","endocrine_count","genitourinary_count","injury_count","preg_compl_count","respiratory_count","skin_count","beds_count","hosp_count","doctors_per_capita","nurse_count","CBR","urbanrural.x","infant_mortality.x","infant_mortality_all","urbanrural.y","infant_mortality.y","infant_mortality_urban","urbanrural","infant_mortality","infant_mortality_rural","fert_rate","tuberculosis","pop","pop_m","pop_f","pc_beds","pc_cancer","pc_circulatory","pc_diabetes","pc_digestive","pc_TB","pc_injury","pc_hosp","male_percent"
"Uzbekistan (National Level)",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20414.9,10091.1,10323.8,NA,NA,NA,NA,NA,NA,NA,67.2547991907871,0.494300731328588
"Uzbekistan (National Level)",1991,8187,NA,15898,211.6,15.1,833.7,180.6,337.3,NA,225.6,3742.9,613.6,258.8,1388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20857,10315.9,10541.1,12.4083041664669,762.238097521216,10.1452749676368,392.530085822506,39.9721915903534,NA,NA,66.5484010164453,0.494601332885842
"Uzbekistan (National Level)",1992,7984,NA,16614,238.2,18.5,1059.2,232.3,369.7,NA,248.2,4365.8,683.2,228.7,1365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21354.2,10569.4,10784.8,10.7098369407423,778.020248944002,11.1547142950801,373.884294424516,49.6014835489037,NA,NA,63.9218514390612,0.494956495677665
"Uzbekistan (National Level)",1993,10780,NA,16569,248,16.9,1246,238.2,398.2,NA,239.8,4494.8,679.7,196.6,1361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21847,10821.6,11025.4,8.99894722387513,758.410765780199,11.351672998581,493.431592438321,57.0330022428709,NA,NA,62.2968828672129,0.495335744038083
"Uzbekistan (National Level)",1994,11678,NA,15974,241.3,18.2,1337.3,269.3,424.7,805,238.2,4070.6,708.7,183.4,1358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22276.8,11041.7,11235.1,8.23278029160382,717.068878833585,10.8318968613086,524.222509516627,60.0310637075343,NA,36.1362493715435,60.9602815485168,0.495659161100338
"Uzbekistan (National Level)",1995,15606,NA,15550,248.3,23.2,1241.2,301.7,422.1,756.7,207.5,3452.3,588.7,177.5,1357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22684,11253.1,11430.9,7.82489860694763,685.505201904426,10.9460412625639,687.973902309998,54.7169811320755,NA,33.3583142302945,59.8219008993123,0.496080938106154
"Uzbekistan (National Level)",1996,15154,NA,15654,297.5,27.7,1204.3,421.8,507,703.5,236.3,2990.7,646.2,169.3,1334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23127.6,11485.9,11641.7,7.32025804666286,676.853629429772,12.8634185994223,655.234438506373,52.0719832580985,NA,30.4182016292222,57.6800013836282,0.496631730054134
"Uzbekistan (National Level)",1997,8906,1396.4,16181,346.3,23.2,1152.5,458.5,543.4,701.5,212.4,2806.7,610.3,155.3,1230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23560.5,11710.4,11850.1,6.5915409265508,686.785085206171,14.6983298317099,378.005560153647,48.9166189172556,NA,29.7744105600475,52.2060227923856,0.497035292120286
"Uzbekistan (National Level)",1998,8547,1484,16810,308.8,23.3,1116.7,500.4,519.6,637.2,175.2,2738.5,570.7,140.5,1175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23953.9,11914,12039.9,5.86543318624525,701.764639578524,12.8914289531141,356.810373258634,46.6187134454097,NA,26.6010962724233,49.0525551162859,0.49737203545143
"Uzbekistan (National Level)",1999,9606,1472.7,17331,294.6,17.7,1115.5,592.4,523.1,692.4,160.2,2649.1,584.8,138.1,1178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24311.6,12100.7,12210.9,5.6804159331348,712.869576662992,12.1176722223136,395.120025008638,45.8834465851692,NA,28.4802316589612,48.4542358380362,0.497733592194673
