"Region","year","diabetes_count","blood_disease_count","cancer_count","circulatory_count","congenital_count","digestive_count","endocrine_count","genitourinary_count","injury_count","preg_compl_count","respiratory_count","skin_count","hep_count","intestinal_count","beds_count","hosp_count","doctors_per_capita","nurse_count","CBR","infant_mortality_count_all","infant_mortality_count_urban","infant_mortality_count_rural","fert_rate","LOS","pop","pop_m","pop_f","tuberculosis","births_count","pop_urban","pop_rural","pc_beds","pc_cancer","pc_circulatory","pc_diabetes","pc_digestive","pc_hep","pc_intestinal","pc_respiratory","pc_genitourinary","pc_TB","pc_injury","pc_hosp","male_percent","IMR_all","urban_percent"
"Andijan",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,1771.9,875.7,896.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.6147638128563,0.49421524916756,NA,NA
"Andijan",1991,595,NA,922,20.4,0.8,162.9,20.2,28.9,NA,23.9,286,59.3,16808,7676,22.2,101,NA,NA,NA,NA,NA,NA,NA,NA,1810.8,896.7,914.1,NA,NA,NA,NA,12.259774685222,0.50916721890877,11.2657388999337,0.328584051248067,89.9602385685885,9.28208526618069,4.23901038215154,157.941241440247,15.9597967749061,NA,NA,55.7764523967307,0.49519549370444,NA,NA
"Andijan",1992,265,NA,969,22.3,0.8,206.7,19.8,30.8,NA,31.7,330.6,64.8,11375,7154,20.5,98,NA,NA,NA,NA,NA,NA,NA,15.1,1862.9,923.4,939.5,NA,NA,NA,NA,11.0043480594772,0.520156744860164,11.9705834988459,0.142251328573729,110.956036287509,6.10607117934403,3.84024907402437,177.465242364056,16.5333619625315,NA,NA,52.606151698964,0.495678780396156,NA,NA
"Andijan",1993,421,NA,1200,20.8,0.8,172.4,20.5,28.8,NA,34.8,318.8,57.9,16468,7102,18.4,99,NA,NA,NA,NA,NA,NA,NA,14.5,1919.4,952,967.4,NA,NA,NA,NA,9.58632906116495,0.625195373554236,10.8367198082734,0.219339376888611,89.8197353339585,8.57976450974263,3.70011461915182,166.093570907575,15.0046889653017,NA,NA,51.5786183182244,0.49598832968636,NA,NA
"Andijan",1994,2631,NA,1204,28.1,0.6,189.3,26.1,34.8,60.6,17.3,299.3,61.8,8370,7496,17.4,99,NA,NA,NA,NA,NA,NA,NA,14.9,1966.2,976.1,990.1,NA,NA,NA,NA,8.84955752212389,0.612348692910182,14.2915268029702,1.33811412877632,96.2770826975893,4.25694232529753,3.81243006815176,152.222561285729,17.6991150442478,NA,30.820872749466,50.3509307293256,0.496439833180755,NA,NA
"Andijan",1995,709,NA,1291,17.9,1,142,42.6,31.6,39.9,27.8,223.5,46.8,16171,7156,16.8,99,NA,NA,NA,NA,NA,NA,NA,14.5,2010.6,999,1011.6,NA,NA,NA,NA,8.35571471202626,0.642096886501542,8.9028150800756,0.352631055406346,70.6256838754601,8.04287277429623,3.55913657614642,111.160847508207,15.7167014821446,NA,19.8448224410624,49.2390331244405,0.49686660698299,NA,NA
"Andijan",1996,468,NA,1461,18.4,1,118.5,55.6,36.5,40.3,26.3,192.9,33.9,6407,4650,16.5,100,NA,NA,NA,NA,NA,NA,NA,14.8,2055.2,1022,1033.2,NA,NA,NA,NA,8.02841572596341,0.710879719735306,8.95289996107435,0.227715064227326,57.658622031919,3.1174581549241,2.26255352277151,93.8594783962631,17.7598287271312,NA,19.6087971973531,48.6570650058389,0.497275204359673,NA,NA
"Andijan",1997,636,176.7,1523,19.5,0.8,117.8,65.3,43.1,40.7,18.9,19.5,36.3,10381,4555,15.3,79,NA,NA,NA,NA,NA,NA,NA,14.1,2095.5,1042.8,1052.7,NA,NA,NA,NA,7.30136005726557,0.726795514197089,9.30565497494631,0.303507516105941,56.2157003101885,4.95394893820091,2.17370555953233,9.30565497494631,20.5678835600095,NA,19.4225721784777,37.6998329754235,0.497637795275591,NA,NA
"Andijan",1998,699,207.4,1581,21.2,0.8,113.8,60.7,47.5,39.6,20.8,197.3,41.7,4616,4278,14.2,78,NA,NA,NA,NA,NA,NA,NA,13.4,2133.3,1062.5,1070.8,NA,NA,NA,NA,6.65635400553134,0.741105329770778,9.93765527586369,0.327661369708902,53.3445835091173,2.16378380912202,2.0053438334974,92.4858200909389,22.2659729058267,NA,18.5627900435944,36.563071297989,0.498054657104017,NA,NA
"Andijan",1999,587,197.9,1591,20,0.7,129.1,88.8,54.8,63.3,20.1,236,47.2,3522,4051,14.3,79,NA,NA,NA,NA,NA,NA,NA,12.6,2169,1081,1088,NA,NA,NA,NA,6.5928999538958,0.73351775011526,9.22083909635777,0.2706316274781,59.5205163669894,1.6237897648686,1.86768095896727,108.805901337022,25.2650991240203,NA,29.1839557399723,36.4223144306132,0.498386353158137,NA,NA
"Andijan",2000,588,198.6,1599,20,0.9,137.7,84.8,58.3,71.5,18.3,233.4,44.4,3583,3091,14,81,NA,NA,NA,682,296,386,NA,12.5,2201.3,1097.8,1103.5,1545,43897,NA,NA,6.35987825375914,0.726388951982919,9.08554036251306,0.267114886657884,62.5539453959024,1.62767455594421,1.40417026302639,106.028256030527,26.4843501567256,0.701857993004134,32.4808067959842,36.7964384681779,0.498705310498342,15.5363692279655,NA
"Andijan",2001,523,218.7,1643,21.7,0.7,146.6,78.3,60,69.3,18,243.6,42.4,3562,2706,13.9,84,NA,NA,NA,664,273,391,NA,11.9,2232,1113.9,1118.1,1718,43973,NA,NA,6.22759856630824,0.736111111111111,9.72222222222222,0.234318996415771,65.6810035842294,1.59587813620072,1.21236559139785,109.139784946237,26.8817204301075,0.769713261648746,31.0483870967742,37.6344086021505,0.499059139784946,15.1001751074523,NA
"Andijan",2002,442,213.4,1538,14.2,0.6,144.5,75.8,57.7,71.9,17.6,255.3,40.4,2859,2467,14.1,86,3.02,23.1,NA,616,233,383,NA,11.6,2263.5,1130.2,1133.3,1875,46019,NA,NA,6.22929092113983,0.679478683454827,6.27347028937486,0.195272807598851,63.8391870996245,1.26308813783963,1.08990501435829,112.789927104042,25.4914954716148,0.828363154406892,31.7649657609896,37.9942566821294,0.499315219792357,13.3857754405789,NA
"Andijan",2003,638,214.4,1701,15.6,0.6,142.7,70,59.5,73,19.3,247,40.5,2480,2326,14,86,2.99,23.1,NA,605,222,383,NA,11.8,2294.4,1146.2,1148.2,1698,43034,NA,NA,6.10181311018131,0.741370292887029,6.79916317991632,0.278068340306834,62.1949093444909,1.08089260808926,1.01377266387727,107.653417015342,25.9327057182706,0.740062761506276,31.8165969316597,37.4825662482566,0.499564156206416,14.0586512989729,NA
"Andijan",2004,755,227.6,1719,18.8,0.6,147.3,62.4,63.2,71,18.5,256.9,42.7,2947,2436,14.1,87,2.77,22.4,NA,641,244,397,NA,10.9,2325.9,1162.5,1163.4,1841,46755,NA,NA,6.06216948278086,0.739068747581581,8.08289264370781,0.324605529042521,63.3303237456468,1.26703641601101,1.04733651489746,110.451868094071,27.1722773979965,0.791521561546068,30.5258179629391,37.4048755320521,0.499806526505869,13.7097636616405,NA
"Andijan",2005,631,231.8,1735,20.4,0.6,152.7,61.3,68.2,71.4,19.3,265.9,44.8,2577,2274,13.8,96,2.6,22.8,NA,583,232,351,NA,10.4,2359.3,1179.7,1179.6,1681,47522,NA,NA,5.8491925571144,0.735387614970542,8.64663247573433,0.26745221040139,64.7225872080702,1.09227313186115,0.963845208324503,112.702920357733,28.9068791590726,0.712499470181834,30.2632136650701,40.6900351799262,0.500021192726656,12.2680021884601,NA
"Andijan",2006,1390,238.7,1737,21.2,0.4,153.3,60.1,62.9,79.2,20.1,260.5,43.7,2469,2350,14.1,96,2.6,23.2,NA,581,190,391,NA,9.5,2392.9,1196.9,1196,1502,48298,NA,NA,5.8924317773413,0.725897446612896,8.85954281415855,0.58088511847549,64.0645242174767,1.03180241547913,0.982071962890217,108.863721843788,26.2860963684233,0.627690250323875,33.097914664215,40.1186844414727,0.500188056333319,12.0294836225102,NA
"Andijan",2007,1143,248.4,1783,22.1,0.5,147.2,70.2,59.7,80.4,22.2,264,42.5,2867,2338,13.2,98,2.6,23.6,NA,680,255,425,NA,8.9,2430.5,1216,1214.5,1500,55070,NA,NA,5.4309812795721,0.733593910717959,9.09277926352602,0.470273606253857,60.5636700267435,1.17959267640403,0.961941987245423,108.619625591442,24.562847150792,0.617156963587739,33.0796132483028,40.3209216210656,0.500308578481794,12.347920828037,NA
"Andijan",2008,872,251.7,1793,27.9,0.6,148.6,66.4,59.6,86.8,27,280.9,40.6,2790,2289,12.8,86,2.6,24,NA,659,221,438,NA,8.4,2475.5,1239,1236.5,1391,62043,NA,NA,5.17067259139568,0.724298121591598,11.2704504140578,0.352252070288831,60.0282771157342,1.12704504140578,0.92466168450818,113.472025853363,24.0759442536861,0.561906685518077,35.0636235104019,34.7404564734397,0.500504948495254,10.6216656190062,NA
"Andijan",2009,821,274.3,1742,28,0.5,148.5,63.3,60.9,82.8,27.3,288.6,37.5,3450,2132,13.5,89,2.5,24.3,NA,644,266,378,24.5,8.1,2524.5,1264.1,1260.4,1569,62013,NA,NA,5.3475935828877,0.690037631214102,11.0913052089523,0.325212913448208,58.8235294117647,1.36660724896019,0.84452366805308,114.319667260844,24.1235888294712,0.621509209744504,32.7985739750446,35.2545058427411,0.500732818379877,10.3849192911164,NA
"Andijan",2010,1107,265.6,1862,27.5,0.4,153.2,64.3,61.6,82.8,26.9,293.8,35.2,4464,2209,13.3,92,2.5,24.8,NA,566,389,177,22.6,6.1,2610.7,1311.2,1299.5,1532,59953,NA,NA,5.09441912130846,0.713218676983185,10.5335733711265,0.424024208066802,58.6815796529666,1.70988623740759,0.846133220975217,112.536867506799,23.5952043513234,0.586815796529666,31.7156318228828,35.2395909143142,0.502240778335312,9.44072857071373,NA
"Andijan",2011,1129,266.4,1801,34.1,0.4,153,61.8,61.2,88.2,31.2,293.2,36.7,4516,2010,13.2,107,2.5,25.4,NA,526,348,178,21,8.1,2693.2,1356.6,1336.6,1478,56662,1420.1,1252.2,4.90123273429378,0.668721223822962,12.6615178969256,0.419203920986187,56.809743056587,1.67681568394475,0.74632407544928,108.86677558295,22.7238972226348,0.548789544036834,32.7491459973266,39.7296895885935,0.503713055101738,9.28311743320038,0.527290954997772
"Andijan",2012,1216,263.9,1844,36.8,0.4,174,54.3,75.8,90.2,43.5,296.2,38.1,3521,1858,13.5,123,2.45,25.9,NA,689,485,204,21.3,7.8,2735.3,1378.4,1356.9,1417,58277,1436.5,1277.7,4.93547325704676,0.674149087851424,13.4537345080978,0.444558183745841,63.6127664241582,1.28724454356012,0.679267356414287,108.287939165722,27.7117683617885,0.518041896684093,32.976273169305,44.9676452308705,0.503930099075056,11.8228460627692,0.525170913610938
"Andijan",2013,1456,258,1878,42.9,0.4,174.5,59.6,83.5,85.6,44.9,295.9,43.7,3772,1900,12.9,123,2.33,25.1,NA,757,521,236,23.1,7.8,2780.9,1402.2,1378.7,1352,64239,1453.9,1302.5,4.63878600453091,0.675320939264267,15.4266604336726,0.523571505627675,62.7494695961739,1.35639541155741,0.683232047178971,106.404401452767,30.0262504944442,0.486173540939983,30.7814017044842,44.2302851594807,0.50422525081808,11.7841186817977,0.522816354417635
"Andijan",2014,1664,228,1883,44.3,0.4,166.3,46.5,82.3,87.6,48.6,427.2,42,3762,1865,12.3,117,2.34,26.3,24,840,506,334,24,7.1,2831.4,1428.5,1402.9,1192,67905,1476.3,1329.2,4.34414070777707,0.665042028678392,15.6459701914247,0.587695133149679,58.7341950978315,1.32867132867133,0.65868474959384,150.879423606696,29.0668927032563,0.420993148265876,30.9387582114855,41.3223140495868,0.504520731793459,12.3702231058096,0.521402839584658
"Andijan",2015,1847,258.6,1836,55.8,0.5,171.8,55.2,91.1,95.7,49.9,413.1,43.2,2855,1890,11.8,125,2.33,27,24.1,986,527,459,24.1,6.8,2883.9,1455.5,1428.4,1269,69562,1500,1357.3,4.09168140365477,0.636637886195777,19.3487985020285,0.64045216547037,59.5721072159229,0.989978848087659,0.655362529907417,143.24352439405,31.5891674468602,0.440029127223551,33.1842296889629,43.3440826658345,0.504698498560976,14.1744055662574,0.520128991990014
"Andijan",2016,1736,255.8,1791,56.2,0.5,164.8,59.6,93.9,94.7,51.7,456.7,48.4,3199,2082,12.1,136,2.28,27,23.4,984,514,470,23.4,7,2936.5,1482.7,1453.8,1359,68784,1521.3,1389.2,4.1205516771667,0.609909756512855,19.1384301038651,0.591179976162098,56.1212327600885,1.08939213349225,0.70900732164141,155.525285203474,31.9768431806572,0.462795845394177,32.2492763493955,46.31363868551,0.504920824110335,14.3056524773203,0.518065724501958
